Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
361;05/09/2008;0;0;25;5.0;0.0;505170876;508589975;453;0
362;05/09/2008;0;0;30;15.68944;0.0;508590582;501551557;137;0
358;05/09/2008;0;0;1;8.0;0.0;512042659;512058040;448;0
363;05/09/2008;0;0;365;46800.0;0.0;508590582;502235136;455;0
364;05/09/2008;0;08/09/2009 00:00;365;37.75;37.75;501516980;211997676;457;0
365;08/09/2008;0;0;15;43.18875;0.0;506810267;155084526;459;0
366;08/09/2008;0;0;45;8.32;0.0;506810267;172592771;460;0
367;08/09/2008;0;0;3;7.4;0.0;500832935;504892223;461;0
368;04/09/2008;0;0;172;3.956;0.0;506881784;193149010;463;0
369;08/09/2008;0;0;172;19.60284;0.0;506881784;502006412;464;0
370;08/09/2008;0;0;172;11.86628;0.0;506881784;503028517;465;0
371;08/09/2008;0;02/07/2009 00:00;30;48.0;48.0;600013855;508485169;467;0
372;08/09/2008;08/09/2008 00:00;04/11/2008 00:00;60;17.5;17.5;505984717;507840747;468;0
374;08/09/2008;0;0;23;139.6954;139.6954;506772527;503899550;470;0
375;08/09/2008;0;31/08/2008 00:00;1;1.0;1.0;508160570;502126256;471;0
376;08/09/2008;0;15/09/2008 00:00;7;11.088;11.088;508160570;505930510;472;0
377;08/09/2008;0;07/09/2008 00:00;2;33600.0;33600.0;508160570;505930510;472;0
378;08/09/2008;0;31/08/2008 00:00;4;4.74;4.74;508160570;506968944;473;0
379;08/09/2008;0;31/08/2008 00:00;4;1.232;1.232;508160570;505930510;472;0
380;08/09/2008;0;14/09/2008 00:00;1;2.3;2.3;508160570;502126256;471;0
381;08/09/2008;0;17/08/2008 00:00;2;2.55;2.55;508160570;502126256;471;0
382;08/09/2008;0;16/08/2008 00:00;2;2.55;2.55;508160570;502126256;471;0
383;08/09/2008;0;0;6;7.80952;0.0;505187531;500729360;474;0
384;08/09/2008;0;07/09/2008 00:00;1;3.2;3.2;508160570;502126256;471;0
385;08/09/2008;0;31/08/2008 00:00;1;3.2;3.2;508160570;502126256;471;0
386;08/09/2008;05/09/2008 00:00;15/12/2008 00:00;110;12.0;12.0;505984717;500438986;475;0
388;08/09/2008;0;0;10;57800.0;0.0;600000125;500278725;476;0
389;08/09/2008;0;0;1;5.75;0.0;502130040;508038197;26;0
390;08/09/2008;0;0;15;16.259;0.0;504915266;505355760;478;0
391;08/09/2008;0;0;8;32000.0;0.0;508590582;680010793;479;0
392;08/09/2008;0;0;8;32000.0;0.0;508590582;680010793;479;0
393;08/09/2008;0;0;3;7.7;0.0;505932512;501821627;481;0
394;08/09/2008;0;0;31;52500.0;0.0;508590582;175797897;482;0
395;08/09/2008;0;0;2;1.27872;0.0;600000125;503848336;483;0
396;08/09/2008;0;0;2;80702.0;0.0;600000125;78913993;484;0
397;08/09/2008;0;0;2;41040.0;0.0;600000125;500133336;485;0
398;08/09/2008;0;0;15;10.1515;0.0;504915266;507684427;486;0
399;08/09/2008;0;0;75;41.666;0.0;506864960;502503661;488;0
400;08/09/2008;0;0;118;53.968;0.0;504845535;507545427;490;0
401;08/09/2008;0;0;2;41040.0;0.0;600000125;500133336;485;0
402;08/09/2008;0;0;15;25349.0;0.0;504293125;500749388;492;0
403;09/09/2008;0;03/09/2008 00:00;2;6.48;6.48;508160570;504985701;493;0
404;09/09/2008;09/09/2008 00:00;22/09/2008 00:00;8;7.2;7.2;505309939;505322730;37;0
